Index,Background,Year,Year_range,Period_1_commu,Period_2_commu,Period_3_commu
3775,political science,2018.0,3.0,,,7.0
3811,sociology,2018.0,3.0,,,71.0
4284,communication,2018.0,3.0,,,7.0
4312,political science,2018.0,3.0,,,7.0
4420,communication,2018.0,3.0,,,7.0
4606,information science & library science,2018.0,3.0,,,29.0
4785,communication,2018.0,3.0,,,7.0
4846,communication,2018.0,3.0,,,7.0
4946,communication,2018.0,3.0,,,7.0
5008,information science & library science,2018.0,3.0,,,7.0
5096,communication,2018.0,3.0,,,7.0
5216,information science & library science,2017.0,3.0,,,6.0
5428,communication,2017.0,3.0,,,7.0
5893,biophysics,2017.0,3.0,,,8.0
6297,communication,2017.0,3.0,,,7.0
6306,law,2017.0,3.0,,,7.0
6586,political science,2017.0,3.0,,,7.0
6629,political science,2017.0,3.0,,,7.0
6773,communication,2017.0,3.0,,,7.0
7009,communication,2017.0,3.0,,,7.0
7035,communication,2016.0,3.0,,,7.0
7065,computer science,2016.0,3.0,,,7.0
7089,communication,2016.0,3.0,,,7.0
7100,communication,2016.0,3.0,,,7.0
7446,political science,2016.0,3.0,,,7.0
7537,statistics & probability,2016.0,3.0,,,3.0
7700,communication,2016.0,3.0,,,7.0
7898,communication,2016.0,3.0,,,7.0
7905,psychology,2016.0,3.0,,,56.0
7998,computer science,2016.0,3.0,,,7.0
8145,computer science,2016.0,3.0,,,7.0
8254,communication,2016.0,3.0,,,7.0
8377,computer science,2016.0,3.0,,,7.0
8415,computer science,2016.0,3.0,,,29.0
8506,political science,2016.0,3.0,,,7.0
8798,information science & library science,2015.0,3.0,,,7.0
8896,sociology,2015.0,3.0,,,7.0
9011,communication,2015.0,3.0,,,7.0
9114,communication,2015.0,3.0,,,7.0
9157,political science,2015.0,3.0,,,12.0
9191,business,2015.0,3.0,,,7.0
9239,computer science,2015.0,3.0,,,18.0
9563,computer science,2015.0,3.0,,,29.0
9582,political science,2015.0,3.0,,,7.0
9587,computer science,2015.0,3.0,,,4.0
10137,information science & library science,2014.0,2.0,,1.0,29.0
10195,psychology,2014.0,2.0,,2.0,7.0
10230,political science,2014.0,2.0,,1.0,7.0
10299,biodiversity conservation,2014.0,2.0,,,8.0
10359,social issues,2014.0,2.0,,3.0,17.0
10463,computer science,2014.0,2.0,,1.0,12.0
10491,computer science,2014.0,2.0,,1.0,29.0
10570,psychology,2013.0,2.0,,1.0,7.0
10626,information science & library science,2013.0,2.0,,1.0,29.0
10788,communication,2013.0,2.0,,1.0,7.0
10790,communication,2013.0,2.0,,1.0,7.0
10791,communication,2013.0,2.0,,1.0,3.0
10862,communication,2013.0,2.0,,1.0,7.0
10940,computer science,2013.0,2.0,,1.0,3.0
11611,economics,2011.0,2.0,,3.0,1.0
10926,information science & library science,2013.0,2.0,,5.0,85.0
1826,microbiology,2019.0,3.0,,,19.0
2898,environmental studies,2018.0,3.0,,,19.0
6836,business,2017.0,3.0,,,5.0
10172,computer science,2014.0,2.0,,1.0,25.0
8897,computer science,2015.0,3.0,,,27.0
486,computer science,2019.0,3.0,,,2.0
382,computer science,2019.0,3.0,,,50.0
1145,computer science,2019.0,3.0,,,2.0
1207,multidisciplinary sciences,2019.0,3.0,,,8.0
1377,psychology,2019.0,3.0,,,6.0
1473,computer science,2019.0,3.0,,,2.0
1494,business,2019.0,3.0,,,2.0
1622,health care sciences & services,2019.0,3.0,,,6.0
1630,communication,2019.0,3.0,,,6.0
1843,computer science,2019.0,3.0,,,2.0
1882,computer science,2019.0,3.0,,,2.0
2087,environmental studies,2019.0,3.0,,,2.0
2100,business,2019.0,3.0,,,1.0
2597,social sciences,2019.0,3.0,,,7.0
2618,communication,2019.0,3.0,,,12.0
2673,computer science,2019.0,3.0,,,2.0
2922,computer science,2018.0,3.0,,,2.0
3036,multidisciplinary sciences,2018.0,3.0,,,2.0
3055,social sciences,2018.0,3.0,,,2.0
3344,computer science,2018.0,3.0,,,12.0
3460,computer science,2018.0,3.0,,,2.0
3522,computer science,2018.0,3.0,,,4.0
3731,computer science,2018.0,3.0,,,3.0
3761,multidisciplinary sciences,2018.0,3.0,,,2.0
3899,computer science,2018.0,3.0,,,6.0
3934,architecture,2018.0,3.0,,,55.0
4038,multidisciplinary sciences,2018.0,3.0,,,24.0
4157,computer science,2018.0,3.0,,,18.0
4463,dentistry,2018.0,3.0,,,168.0
4525,communication,2018.0,3.0,,,12.0
4617,computer science,2018.0,3.0,,,133.0
5024,information science & library science,2018.0,3.0,,,77.0
5199,engineering,2017.0,3.0,,,5.0
5275,computer science,2017.0,3.0,,,3.0
5282,environmental studies,2017.0,3.0,,,2.0
5549,computer science,2017.0,3.0,,,2.0
5643,computer science,2017.0,3.0,,,2.0
5674,computer science,2017.0,3.0,,,24.0
5805,psychology,2017.0,3.0,,,111.0
6005,behavioral sciences,2017.0,3.0,,,
6127,computer science,2017.0,3.0,,,103.0
6321,religion,2017.0,3.0,,,6.0
6389,computer science,2017.0,3.0,,,8.0
6442,computer science,2017.0,3.0,,,30.0
6738,information science & library science,2017.0,3.0,,,34.0
6748,information science & library science,2017.0,3.0,,,29.0
6808,computer science,2017.0,3.0,,,2.0
6983,computer science,2017.0,3.0,,,2.0
7066,computer science,2016.0,3.0,,,3.0
7141,psychology,2016.0,3.0,,,55.0
7262,business,2016.0,3.0,,,
7285,mathematical & computational biology,2016.0,3.0,,,10.0
7568,computer science,2016.0,3.0,,,12.0
7581,telecommunications,2016.0,3.0,,,2.0
7600,social sciences,2016.0,3.0,,,40.0
7997,computer science,2016.0,3.0,,,5.0
8097,computer science,2016.0,3.0,,,11.0
8193,multidisciplinary sciences,2016.0,3.0,,,24.0
8450,computer science,2016.0,3.0,,,35.0
8473,computer science,2016.0,3.0,,,9.0
8474,computer science,2016.0,3.0,,,5.0
8499,computer science,2016.0,3.0,,,2.0
8573,multidisciplinary sciences,2015.0,3.0,,,2.0
8699,multidisciplinary sciences,2015.0,3.0,,,6.0
8723,health care sciences & services,2015.0,3.0,,,26.0
8737,computer science,2015.0,3.0,,,11.0
8748,mathematics,2015.0,3.0,,,2.0
8808,business,2015.0,3.0,,,6.0
8962,computer science,2015.0,3.0,,,6.0
8966,engineering,2015.0,3.0,,,37.0
8967,computer science,2015.0,3.0,,,6.0
9076,computer science,2015.0,3.0,,,2.0
9098,social sciences,2015.0,3.0,,,2.0
9133,engineering,2015.0,3.0,,,6.0
9301,political science,2015.0,3.0,,,40.0
9374,computer science,2015.0,3.0,,,3.0
9501,multidisciplinary sciences,2015.0,3.0,,,10.0
9616,computer science,2015.0,3.0,,,2.0
9764,criminology & penology,2015.0,3.0,,,22.0
9791,computer science,2015.0,3.0,,,2.0
9862,multidisciplinary sciences,2014.0,2.0,,3.0,8.0
10213,computer science,2014.0,2.0,,1.0,2.0
10254,communication,2014.0,2.0,,3.0,79.0
10315,multidisciplinary sciences,2014.0,2.0,,1.0,6.0
10326,computer science,2014.0,2.0,,1.0,2.0
10380,engineering,2014.0,2.0,,1.0,2.0
10704,sociology,2013.0,2.0,,,50.0
11009,computer science,2013.0,2.0,,1.0,2.0
11057,transportation,2013.0,2.0,,1.0,101.0
11062,communication,2013.0,2.0,,,
11202,multidisciplinary sciences,2012.0,2.0,,3.0,8.0
8654,computer science,2015.0,3.0,,,14.0
6350,"public, environmental & occupational health",2017.0,3.0,,,
9510,computer science,2015.0,3.0,,,3.0
9826,computer science,2014.0,2.0,,,
7084,computer science,2016.0,3.0,,,36.0
6650,computer science,2017.0,3.0,,,74.0
8868,multidisciplinary sciences,2015.0,3.0,,,74.0
770,computer science,2019.0,3.0,,,11.0
572,economics,2019.0,3.0,,,2.0
1477,business,2019.0,3.0,,,18.0
1479,communication,2019.0,3.0,,,33.0
1778,communication,2019.0,3.0,,,39.0
2222,engineering,2019.0,3.0,,,2.0
2897,environmental studies,2018.0,3.0,,,19.0
2948,psychology,2018.0,3.0,,,39.0
3237,computer science,2018.0,3.0,,,6.0
3323,computer science,2018.0,3.0,,,5.0
3554,computer science,2018.0,3.0,,,2.0
3983,computer science,2018.0,3.0,,,6.0
5738,multidisciplinary sciences,2017.0,3.0,,,2.0
6087,psychology,2017.0,3.0,,,39.0
6109,computer science,2017.0,3.0,,,5.0
6156,computer science,2017.0,3.0,,,3.0
6217,communication,2017.0,3.0,,,40.0
6346,communication,2017.0,3.0,,,
6523,computer science,2017.0,3.0,,,89.0
6718,international relations,2017.0,3.0,,,174.0
6792,communication,2017.0,3.0,,,15.0
6877,information science & library science,2017.0,3.0,,,6.0
6917,political science,2017.0,3.0,,,7.0
7168,computer science,2016.0,3.0,,,6.0
7333,computer science,2016.0,3.0,,,20.0
7384,computer science,2016.0,3.0,,,3.0
7479,geosciences,2016.0,3.0,,,10.0
7820,computer science,2016.0,3.0,,,69.0
7893,hospitality,2016.0,3.0,,,13.0
8419,computer science,2016.0,3.0,,,6.0
8423,computer science,2016.0,3.0,,,2.0
8579,music,2015.0,3.0,,,6.0
8588,mathematics,2015.0,3.0,,,14.0
9035,multidisciplinary sciences,2015.0,3.0,,,6.0
9062,information science & library science,2015.0,3.0,,,29.0
9289,computer science,2015.0,3.0,,,58.0
9403,health care sciences & services,2015.0,3.0,,,8.0
9543,communication,2015.0,3.0,,,40.0
9634,computer science,2015.0,3.0,,,22.0
9676,computer science,2015.0,3.0,,,19.0
9856,computer science,2014.0,2.0,,1.0,6.0
10011,computer science,2014.0,2.0,,35.0,219.0
10068,computer science,2014.0,2.0,,1.0,3.0
10125,computer science,2014.0,2.0,,,
10346,computer science,2014.0,2.0,,1.0,94.0
10355,computer science,2014.0,2.0,,3.0,8.0
10388,computer science,2014.0,2.0,,,74.0
10479,computer science,2014.0,2.0,,1.0,2.0
10522,computer science,2013.0,2.0,,,174.0
10523,computer science,2013.0,2.0,,1.0,6.0
10613,computer science,2013.0,2.0,,1.0,5.0
10663,psychology,2013.0,2.0,,1.0,49.0
10682,management,2013.0,2.0,,,
10741,computer science,2013.0,2.0,,1.0,3.0
10844,social sciences,2013.0,2.0,,8.0,172.0
10853,multidisciplinary sciences,2013.0,2.0,,1.0,6.0
11171,computer science,2012.0,2.0,,1.0,3.0
11341,communication,2012.0,2.0,,,6.0
322,computer science,2019.0,3.0,,,77.0
2702,communication,2019.0,3.0,,,39.0
2962,computer science,2018.0,3.0,,,
4361,environmental sciences,2018.0,3.0,,,6.0
4732,mathematics,2018.0,3.0,,,3.0
5789,social sciences,2017.0,3.0,,,6.0
6047,computer science,2017.0,3.0,,,3.0
6874,social sciences,2017.0,3.0,,,10.0
7004,computer science,2017.0,3.0,,,3.0
7101,communication,2016.0,3.0,,,15.0
7492,computer science,2016.0,3.0,,,5.0
7597,multidisciplinary sciences,2016.0,3.0,,,28.0
7915,computer science,2016.0,3.0,,,51.0
8861,psychology,2015.0,3.0,,,43.0
8911,information science & library science,2015.0,3.0,,,5.0
9663,computer science,2015.0,3.0,,,5.0
9959,geography,2014.0,2.0,,3.0,6.0
8558,urban studies,2016.0,3.0,,,28.0
8595,geography,2015.0,3.0,,,
9789,information science & library science,2015.0,3.0,,,29.0
10614,information science & library science,2013.0,2.0,,,
4828,information science & library science,2018.0,3.0,,,
5799,computer science,2017.0,3.0,,,88.0
6886,computer science,2017.0,3.0,,,5.0
8180,computer science,2016.0,3.0,,,53.0
8497,computer science,2016.0,3.0,,,58.0
8582,computer science,2015.0,3.0,,,122.0
9034,computer science,2015.0,3.0,,,86.0
9210,business,2015.0,3.0,,,59.0
9450,computer science,2015.0,3.0,,,122.0
9800,computer science,2014.0,2.0,,,9.0
10536,computer science,2013.0,2.0,,1.0,122.0
1985,communication,2019.0,3.0,,,254.0
2552,communication,2019.0,3.0,,,254.0
6839,business,2017.0,3.0,,,1.0
7328,social issues,2016.0,3.0,,,17.0
2947,psychology,2018.0,3.0,,,4.0
4064,communication,2018.0,3.0,,,4.0
8799,nursing,2015.0,3.0,,,16.0
8803,communication,2015.0,3.0,,,75.0
10160,education,2014.0,2.0,,,
10695,psychology,2013.0,2.0,,2.0,4.0
10868,hospitality,2013.0,2.0,,3.0,4.0
10871,endocrinology & metabolism,2013.0,2.0,,2.0,35.0
6855,hospitality,2017.0,3.0,,,123.0
9653,computer science,2015.0,3.0,,,
6362,computer science,2017.0,3.0,,,140.0
4285,information science & library science,2018.0,3.0,,,77.0
10450,computer science,2014.0,2.0,,,140.0
4685,computer science,2018.0,3.0,,,19.0
3536,computer science,2018.0,3.0,,,2.0
4488,computer science,2018.0,3.0,,,2.0
4490,computer science,2018.0,3.0,,,2.0
7067,computer science,2016.0,3.0,,,2.0
7612,computer science,2016.0,3.0,,,2.0
2831,communication,2019.0,3.0,,,32.0
6182,business,2017.0,3.0,,,1.0
9794,computer science,2015.0,3.0,,,112.0
10553,computer science,2013.0,2.0,,1.0,25.0
326,computer science,2019.0,3.0,,,2.0
46,communication,,,,,71.0
350,psychology,2019.0,3.0,,,2.0
413,computer science,2019.0,3.0,,,54.0
479,information science & library science,2019.0,3.0,,,1.0
614,meteorology & atmospheric sciences,2019.0,3.0,,,47.0
673,social issues,2019.0,3.0,,,18.0
788,computer science,2019.0,3.0,,,2.0
1154,computer science,2019.0,3.0,,,119.0
1564,computer science,2019.0,3.0,,,11.0
2420,computer science,2019.0,3.0,,,2.0
2427,communication,2019.0,3.0,,,7.0
2698,computer science,2019.0,3.0,,,2.0
2793,computer science,2019.0,3.0,,,2.0
2913,geography,2018.0,3.0,,,40.0
3057,computer science,2018.0,3.0,,,2.0
3500,computer science,2018.0,3.0,,,2.0
3628,computer science,2018.0,3.0,,,5.0
3877,computer science,2018.0,3.0,,,11.0
3948,computer science,2018.0,3.0,,,2.0
4862,computer science,2018.0,3.0,,,2.0
5472,dentistry,2017.0,3.0,,,168.0
5578,computer science,2017.0,3.0,,,2.0
5927,computer science,2017.0,3.0,,,2.0
6149,computer science,2017.0,3.0,,,2.0
6188,computer science,2017.0,3.0,,,122.0
6220,computer science,2017.0,3.0,,,18.0
6574,computer science,2017.0,3.0,,,35.0
6643,computer science,2017.0,3.0,,,2.0
6655,computer science,2017.0,3.0,,,2.0
6762,humanities,2017.0,3.0,,,2.0
6893,computer science,2017.0,3.0,,,2.0
6945,computer science,2017.0,3.0,,,6.0
7278,computer science,2016.0,3.0,,,5.0
7313,computer science,2016.0,3.0,,,2.0
7380,computer science,2016.0,3.0,,,2.0
7800,geography,2016.0,3.0,,,29.0
7812,multidisciplinary sciences,2016.0,3.0,,,9.0
7936,computer science,2016.0,3.0,,,2.0
8291,computer science,2016.0,3.0,,,2.0
8448,computer science,2016.0,3.0,,,2.0
8917,computer science,2015.0,3.0,,,2.0
9200,health care sciences & services,2015.0,3.0,,,
9775,computer science,2015.0,3.0,,,85.0
9930,computer science,2014.0,2.0,,1.0,2.0
3375,computer science,2018.0,3.0,,,66.0
6123,computer science,2017.0,3.0,,,31.0
8440,health care sciences & services,2016.0,3.0,,,35.0
8845,computer science,2015.0,3.0,,,66.0
514,computer science,2019.0,3.0,,,51.0
280,communication,,,,,119.0
827,hospitality,2019.0,3.0,,,13.0
1001,computer science,2019.0,3.0,,,51.0
1852,communication,2019.0,3.0,,,51.0
2485,communication,2019.0,3.0,,,12.0
2791,communication,2019.0,3.0,,,101.0
3372,history,2018.0,3.0,,,194.0
3480,business,2018.0,3.0,,,34.0
4597,communication,2018.0,3.0,,,85.0
4697,international relations,2018.0,3.0,,,30.0
5238,music,2017.0,3.0,,,
5706,psychology,2017.0,3.0,,,30.0
8040,history,2016.0,3.0,,,85.0
8080,computer science,2016.0,3.0,,,51.0
8356,music,2016.0,3.0,,,30.0
8719,communication,2015.0,3.0,,,
8856,psychology,2015.0,3.0,,,8.0
8969,psychology,2015.0,3.0,,,51.0
9252,sociology,2015.0,3.0,,,30.0
9292,communication,2015.0,3.0,,,40.0
9485,communication,2015.0,3.0,,,
9492,information science & library science,2015.0,3.0,,,85.0
10008,computer science,2014.0,2.0,,1.0,2.0
10157,computer science,2014.0,2.0,,1.0,2.0
10399,computer science,2014.0,2.0,,3.0,17.0
10849,multidisciplinary sciences,2013.0,2.0,,1.0,101.0
16,computer science,,,,,10.0
117,operations research & management science,2019.0,3.0,,,10.0
222,management,2019.0,3.0,,,10.0
505,psychology,2019.0,3.0,,,10.0
3149,communication,2018.0,3.0,,,174.0
4637,computer science,2018.0,3.0,,,3.0
5286,social sciences,2017.0,3.0,,,40.0
7370,business,2016.0,3.0,,,29.0
8666,computer science,2015.0,3.0,,,41.0
8924,public administration,2015.0,3.0,,,47.0
9899,cultural studies,2014.0,2.0,,1.0,41.0
10078,information science & library science,2014.0,2.0,,1.0,29.0
10252,communication,2014.0,2.0,,,7.0
5164,computer science,2017.0,3.0,,,50.0
1870,computer science,2019.0,3.0,,,50.0
5956,computer science,2017.0,3.0,,,30.0
6348,business,2017.0,3.0,,,20.0
6775,area studies,2017.0,3.0,,,30.0
6987,psychology,2017.0,3.0,,,4.0
3085,communication,2018.0,3.0,,,19.0
3567,computer science,2018.0,3.0,,,20.0
5079,computer science,2018.0,3.0,,,101.0
5369,social sciences,2017.0,3.0,,,40.0
814,computer science,2019.0,3.0,,,
5196,health care sciences & services,2017.0,3.0,,,
3670,computer science,2018.0,3.0,,,19.0
3513,computer science,2018.0,3.0,,,140.0
1153,computer science,2019.0,3.0,,,7.0
851,business,2019.0,3.0,,,51.0
3131,computer science,2018.0,3.0,,,19.0
5122,education,2018.0,3.0,,,101.0
10506,"public, environmental & occupational health",2014.0,2.0,,1.0,16.0
6410,computer science,2017.0,3.0,,,122.0
7762,dentistry,2016.0,3.0,,,19.0
9369,clinical neurology,2015.0,3.0,,,19.0
6770,remote sensing,2017.0,3.0,,,10.0
3514,computer science,2018.0,3.0,,,19.0
4,computer science,2019.0,3.0,,,2.0
113,computer science,2019.0,3.0,,,3.0
586,construction & building technology,2019.0,3.0,,,3.0
724,computer science,2019.0,3.0,,,6.0
2701,communication,2019.0,3.0,,,15.0
3502,psychology,2018.0,3.0,,,15.0
6488,communication,2017.0,3.0,,,7.0
8586,psychology,2015.0,3.0,,,22.0
8802,computer science,2015.0,3.0,,,2.0
10124,computer science,2014.0,2.0,,,25.0
175,computer science,2019.0,3.0,,,5.0
4611,computer science,2018.0,3.0,,,1.0
5020,communication,2018.0,3.0,,,84.0
3289,communication,2018.0,3.0,,,84.0
104,education & educational research,2020.0,4.0,,,48.0
8153,communication,2016.0,3.0,,,
3483,multidisciplinary sciences,2018.0,3.0,,,19.0
6844,computer science,2017.0,3.0,,,19.0
9220,computer science,2015.0,3.0,,,19.0
9968,computer science,2014.0,2.0,,2.0,19.0
1908,information science & library science,2019.0,3.0,,,10.0
2414,computer science,2019.0,3.0,,,3.0
2439,computer science,2019.0,3.0,,,3.0
2639,computer science,2019.0,3.0,,,10.0
2752,primary health care,2019.0,3.0,,,125.0
3138,computer science,2018.0,3.0,,,2.0
3901,computer science,2018.0,3.0,,,51.0
4314,computer science,2018.0,3.0,,,11.0
5800,computer science,2017.0,3.0,,,3.0
5823,mathematics,2017.0,3.0,,,3.0
5877,computer science,2017.0,3.0,,,3.0
5954,multidisciplinary sciences,2017.0,3.0,,,19.0
6372,psychology,2017.0,3.0,,,3.0
6445,computer science,2017.0,3.0,,,3.0
7264,computer science,2016.0,3.0,,,3.0
7323,computer science,2016.0,3.0,,,3.0
8282,computer science,2016.0,3.0,,,22.0
8583,computer science,2015.0,3.0,,,3.0
8611,computer science,2015.0,3.0,,,3.0
9506,computer science,2015.0,3.0,,,5.0
3600,computer science,2018.0,3.0,,,2.0
8055,business,2016.0,3.0,,,202.0
2709,computer science,2019.0,3.0,,,2.0
4304,management,2018.0,3.0,,,10.0
8718,business,2015.0,3.0,,,4.0
31,computer science,2019.0,3.0,,,134.0
5265,automation & control systems,2017.0,3.0,,,112.0
5548,computer science,2017.0,3.0,,,112.0
721,information science & library science,2019.0,3.0,,,19.0
6556,computer science,2017.0,3.0,,,4.0
872,information science & library science,2019.0,3.0,,,140.0
5655,nursing,2017.0,3.0,,,
4719,information science & library science,2018.0,3.0,,,2.0
9620,mathematical & computational biology,2015.0,3.0,,,2.0
7469,engineering,2016.0,3.0,,,5.0
7489,computer science,2016.0,3.0,,,133.0
8864,computer science,2015.0,3.0,,,5.0
9146,computer science,2015.0,3.0,,,133.0
9383,computer science,2015.0,3.0,,,88.0
792,multidisciplinary sciences,2019.0,3.0,,,19.0
1659,computer science,2019.0,3.0,,,19.0
4055,multidisciplinary sciences,2018.0,3.0,,,19.0
5350,multidisciplinary sciences,2017.0,3.0,,,19.0
5507,education,2017.0,3.0,,,19.0
7255,computer science,2016.0,3.0,,,19.0
7521,history & philosophy of science,2016.0,3.0,,,19.0
9117,radiology,2015.0,3.0,,,19.0
800,computer science,2019.0,3.0,,,
5718,multidisciplinary sciences,2017.0,3.0,,,19.0
8908,communication,2015.0,3.0,,,19.0
9778,computer science,2015.0,3.0,,,19.0
5065,geography,2018.0,3.0,,,28.0
3231,computer science,2018.0,3.0,,,53.0
5822,social sciences,2017.0,3.0,,,
3257,computer science,2018.0,3.0,,,226.0
745,information science & library science,2019.0,3.0,,,31.0
1753,health care sciences & services,2019.0,3.0,,,46.0
3242,computer science,2018.0,3.0,,,24.0
302,information science & library science,2019.0,3.0,,,19.0
1705,computer science,2019.0,3.0,,,19.0
385,communication,2019.0,3.0,,,
5044,communication,2018.0,3.0,,,39.0
1175,multidisciplinary sciences,2019.0,3.0,,,19.0
1740,multidisciplinary sciences,2019.0,3.0,,,48.0
1875,computer science,2019.0,3.0,,,19.0
3751,multidisciplinary sciences,2018.0,3.0,,,3.0
4088,microbiology,2018.0,3.0,,,19.0
5714,multidisciplinary sciences,2017.0,3.0,,,19.0
6197,computer science,2017.0,3.0,,,19.0
6337,computer science,2017.0,3.0,,,19.0
6735,computer science,2017.0,3.0,,,19.0
7069,multidisciplinary sciences,2016.0,3.0,,,19.0
7649,education & educational research,2016.0,3.0,,,19.0
7894,"public, environmental & occupational health",2016.0,3.0,,,19.0
8438,computer science,2016.0,3.0,,,19.0
8976,ethics,2015.0,3.0,,,8.0
9010,orthopedics,2015.0,3.0,,,19.0
9528,computer science,2015.0,3.0,,,19.0
9975,immunology,2014.0,2.0,,2.0,19.0
10403,computer science,2014.0,2.0,,2.0,19.0
9002,engineering,2015.0,3.0,,,5.0
541,computer science,2019.0,3.0,,,4.0
4550,computer science,2018.0,3.0,,,
1422,computer science,2019.0,3.0,,,5.0
1487,computer science,2019.0,3.0,,,5.0
3926,computer science,2018.0,3.0,,,9.0
4050,computer science,2018.0,3.0,,,5.0
4213,computer science,2018.0,3.0,,,9.0
4297,computer science,2018.0,3.0,,,10.0
5602,computer science,2017.0,3.0,,,25.0
7714,social sciences,2016.0,3.0,,,102.0
7034,communication,2016.0,3.0,,,4.0
4174,psychology,2018.0,3.0,,,4.0
6336,computer science,2017.0,3.0,,,40.0
7550,business,2016.0,3.0,,,1.0
5596,information science & library science,2017.0,3.0,,,140.0
4917,computer science,2018.0,3.0,,,19.0
5794,computer science,2017.0,3.0,,,3.0
5931,computer science,2017.0,3.0,,,140.0
6075,computer science,2017.0,3.0,,,37.0
6198,computer science,2017.0,3.0,,,19.0
7256,computer science,2016.0,3.0,,,19.0
9101,social sciences,2015.0,3.0,,,40.0
9610,anthropology,2015.0,3.0,,,22.0
6470,computer science,2017.0,3.0,,,4.0
2173,information science & library science,2019.0,3.0,,,19.0
2790,communication,2019.0,3.0,,,19.0
3463,computer science,2018.0,3.0,,,19.0
3914,multidisciplinary sciences,2018.0,3.0,,,19.0
3,computer science,,,,,6.0
142,ecology,2019.0,3.0,,,28.0
400,computer science,2019.0,3.0,,,5.0
1059,computer science,2019.0,3.0,,,5.0
4362,information science & library science,2018.0,3.0,,,10.0
2350,business,2019.0,3.0,,,1.0
7332,information science & library science,2016.0,3.0,,,66.0
249,communication,2019.0,3.0,,,7.0
1014,health care sciences & services,2019.0,3.0,,,9.0
1419,communication,2019.0,3.0,,,15.0
3219,communication,2018.0,3.0,,,76.0
8404,computer science,2016.0,3.0,,,3.0
2164,green & sustainable science & technology,2019.0,3.0,,,56.0
808,computer science,2019.0,3.0,,,7.0
2773,political science,2019.0,3.0,,,7.0
3587,computer science,2018.0,3.0,,,7.0
6245,communication,2017.0,3.0,,,7.0
8323,computer science,2016.0,3.0,,,7.0
8328,computer science,2016.0,3.0,,,7.0
1364,computer science,2019.0,3.0,,,9.0
495,psychology,2019.0,3.0,,,17.0
158,computer science,2019.0,3.0,,,9.0
355,business,2020.0,4.0,,,18.0
1450,communication,2019.0,3.0,,,12.0
3967,chemistry,2018.0,3.0,,,6.0
4168,computer science,2018.0,3.0,,,19.0
4666,communication,2018.0,3.0,,,65.0
5858,geography,2017.0,3.0,,,10.0
7390,multidisciplinary sciences,2016.0,3.0,,,14.0
7727,health care sciences & services,2016.0,3.0,,,318.0
3070,cultural studies,2018.0,3.0,,,29.0
87,communication,2020.0,4.0,,,32.0
2949,psychology,2018.0,3.0,,,3.0
1352,computer science,2019.0,3.0,,,66.0
2836,business,2019.0,3.0,,,
3969,business,2018.0,3.0,,,2.0
6677,computer science,2017.0,3.0,,,
136,green & sustainable science & technology,2019.0,3.0,,,66.0
216,information science & library science,2019.0,3.0,,,146.0
1533,environmental studies,2019.0,3.0,,,40.0
6789,computer science,2017.0,3.0,,,1.0
5901,computer science,2017.0,3.0,,,19.0
335,international relations,,,,,40.0
2112,computer science,2019.0,3.0,,,2.0
4867,computer science,2018.0,3.0,,,30.0
2009,multidisciplinary sciences,2019.0,3.0,,,
1596,multidisciplinary sciences,2019.0,3.0,,,8.0
4163,"public, environmental & occupational health",2018.0,3.0,,,23.0
1184,communication,2020.0,4.0,,,184.0
2581,communication,2019.0,3.0,,,17.0
761,multidisciplinary sciences,2019.0,3.0,,,75.0
3090,psychology,2018.0,3.0,,,12.0
48,hospitality,2020.0,4.0,,,1.0
4612,computer science,2018.0,3.0,,,15.0
4736,computer science,2018.0,3.0,,,5.0
10961,computer science,2013.0,2.0,,1.0,88.0
11801,computer science,2010.0,2.0,,1.0,2.0
6069,economics,2017.0,3.0,,,9.0
5436,physics,2017.0,3.0,,,9.0
7166,computer science,2016.0,3.0,,,9.0
7391,multidisciplinary sciences,2016.0,3.0,,,9.0
7829,physics,2016.0,3.0,,,3.0
8872,multidisciplinary sciences,2015.0,3.0,,,9.0
9863,multidisciplinary sciences,2014.0,2.0,,1.0,49.0
9919,multidisciplinary sciences,2014.0,2.0,,1.0,9.0
4276,computer science,2018.0,3.0,,,
845,business,2019.0,3.0,,,1.0
2635,computer science,2019.0,3.0,,,5.0
4217,geography,2018.0,3.0,,,25.0
4193,communication,2018.0,3.0,,,6.0
5348,green & sustainable science & technology,2017.0,3.0,,,71.0
6243,psychology,2017.0,3.0,,,
7969,psychology,2016.0,3.0,,,4.0
8665,multidisciplinary sciences,2015.0,3.0,,,3.0
8977,multidisciplinary sciences,2015.0,3.0,,,3.0
10073,communication,2014.0,2.0,,3.0,10.0
4104,business,2018.0,3.0,,,4.0
5852,computer science,2017.0,3.0,,,
8932,communication,2015.0,3.0,,,46.0
3077,computer science,2018.0,3.0,,,31.0
694,health care sciences & services,2019.0,3.0,,,31.0
7340,communication,2016.0,3.0,,,
609,surgery,2019.0,3.0,,,
42,computer science,2019.0,3.0,,,8.0
924,gastroenterology & hepatology,2019.0,3.0,,,
978,surgery,,,,,45.0
2206,oncology,2019.0,3.0,,,45.0
2207,oncology,2019.0,3.0,,,125.0
4008,gastroenterology & hepatology,2018.0,3.0,,,45.0
10461,"public, environmental & occupational health",2014.0,2.0,,2.0,109.0
7525,engineering,2016.0,3.0,,,87.0
3482,computer science,2018.0,3.0,,,87.0
6602,automation & control systems,2017.0,3.0,,,9.0
